博物馆名称,定级,省份,地址,联系方式,官网链接,来源链接,是否需要复核
故宫博物院,国家一级博物馆,北京,北京市东城区景山前街4号故宫博物院,400-950-1925,https://www.dpm.org.cn/,https://www.dpm.org.cn/singles_detail/252829.html,否
中国科学技术馆,国家一级博物馆,北京,北京市朝阳区北辰东路5号,010-59041000,https://www.cstm.org.cn/,https://www.beijing.gov.cn/renwen/rwzyd/bwg/zgkxjsg/202301/t20230112_2897389.html,否
中国地质博物馆,国家一级博物馆,北京,北京市西城区西四羊肉胡同15号,66557402,https://www.beijing.gov.cn/renwen/rwzyd/bwg/zgdzbwg/202301/t20230112_2897313.html,https://wwj.beijing.gov.cn/bjww/wwjzzcslm/1737418/1738088/1742745/545745/index.html,否
中国人民革命军事博物馆,国家一级博物馆,北京,北京市复兴路9号,未明确,https://www.jb.mil.cn/jbgk/jbjj/,https://www.jb.mil.cn/jbgk/jbjj/,是
中国航空博物馆,国家一级博物馆,北京,北京市昌平区小汤山镇大汤山村700号,010-61784882,https://www.beijing.gov.cn/renwen/rwzyd/bwg/zghkbwg/202301/t20230112_2897420.html,https://wwj.beijing.gov.cn/bjww/362771/362772/545769/index.html,否
北京鲁迅博物馆（北京新文化运动纪念馆）,国家一级博物馆,北京,北京市西城区阜成门内大街宫门口二条19号,010-50872677,https://www.beijing.gov.cn/renwen/rwzyd/bwg/bjlxbwy/202301/t20230111_2896870.html,https://wwj.beijing.gov.cn/bjww/362771/362772/545730/index.html,否
首都博物馆,国家一级博物馆,北京,西城区复兴门外大街16号,010-63370491,https://www.beijing.gov.cn/renwen/rwzyd/bwg/sdbwg/202301/t20230112_2897442.html,https://www.beijing.gov.cn/renwen/rwzyd/qxdw/gdshyqyxc/shdbwg/202309/t20230920_3263116.html,否
国家自然博物馆,国家一级博物馆,北京,北京市东城区天桥南大街126号,010-67027702;010-67024431,https://www.nnhm.org.cn/,https://www.nnhm.org.cn/lxwm/index.shtml,否
中国人民抗日战争纪念馆,国家一级博物馆,北京,北京市丰台区卢沟桥城内街101号,83893163,https://www.beijing.gov.cn/renwen/rwzyd/bwg/zgrmkrjng/202301/t20230112_2897349.html,https://wwj.beijing.gov.cn/bjww/362771/362773/546448/index.html,否
周口店北京人遗址博物馆,国家一级博物馆,北京,北京市房山区周口店大街13号,010-53230030,https://www.beijing.gov.cn/renwen/rwzyd/bwg/zkdbjryzbwg/202301/t20230112_2897804.html,https://wwj.beijing.gov.cn/bjww/362771/362772/545883/,否
中国国家博物馆,国家一级博物馆,北京,北京市东城区东长安街16号,010-65116400,https://m.chnmuseum.cn/index.html,https://m.chnmuseum.cn/cg/;https://m.chnmuseum.cn/shxg/lxwm/201901/t20190102_37017.shtml,否
中国农业博物馆,国家一级博物馆,北京,北京市朝阳区东三环北路16号,010-59199766;010-59199765;010-59199757,https://www.beijing.gov.cn/renwen/rwzyd/bwg/zgnybwg/202301/t20230112_2897337.html,https://wwj.beijing.gov.cn/bjww/362771/362772/545748/index.html,否
北京天文馆,国家一级博物馆,北京,北京市西城区西直门外大街138号,010-51583311;010-68312517,https://www.bjp.org.cn/,https://www.bjp.org.cn/cgzn/ylzn/index.shtml,否
文化和旅游部恭王府博物馆,国家一级博物馆,北京,北京市西城区前海西街17号,010-83288149,https://www.pgm.org.cn/,https://www.pgm.org.cn/pgm/jgsz/list_nd.shtml,否
中国印刷博物馆,国家一级博物馆,北京,北京市大兴区黄村镇兴华北路25号,010-81282813,https://www.beijing.gov.cn/renwen/rwzyd/bwg/zjysbwg/202301/t20230112_2897816.html,https://wwj.beijing.gov.cn/bjww/362771/362772/545886/index.html,否
中国电影博物馆,国家一级博物馆,北京,北京市朝阳区南影路9号,010-84355858;010-84355959,https://www.beijing.gov.cn/renwen/rwzyd/bwg/zgdybwg/202301/t20230113_2899366.html,https://www.beijing.gov.cn/renwen/rwzyd/wljd/zgdybwgdypszzjstyjd/202312/t20231213_3499125.html,否
北京汽车博物馆,国家一级博物馆,北京,北京市丰台区南四环西路126号,010-63756666,https://www.beijing.gov.cn/renwen/rwzyd/bwg/bjqcbwg/202301/t20230113_2899663.html,https://www.beijing.gov.cn/renwen/rwzyd/wljd/bjqcbwgtyjd/202311/t20231117_3304055.html,否
清华大学艺术博物馆,国家一级博物馆,北京,海淀区清华园1号清华大学校内,010-62781012,https://www.beijing.gov.cn/renwen/rwzyd/bwg/qhdxysbqg/202301/t20230116_2901320.html,https://www.beijing.gov.cn/renwen/rwzyd/qxdw/myhdlzqzh/qhyshbwg/202309/t20230921_3263774.html,否
