序号,省份,博物馆名称,性质,质量等级,是否免费开放,藏品数（件/套）,珍贵文物（件/套）,展览（个）,教育活动（次）,参观人数（万人次）
1,安徽省,安徽博物院（安徽省文物鉴定站）,文化文物系统国有博物馆,一级,是,224418,15914,77,914,221.6277
2,安徽省,安徽楚文化博物馆（寿县博物馆）,文化文物系统国有博物馆,一级,是,4798,2226,15,301,89.08
3,安徽省,安徽福光艺术博物馆,非国有博物馆,未定级,是,807,0,2,0,0.1568
4,安徽省,安徽革命烈士事迹陈列馆,其他行业国有博物馆,未定级,是,412,0,1,26,32.1936
5,安徽省,安徽红色文化博物馆,非国有博物馆,未定级,是,302,0,10,0,0.68
6,安徽省,安徽华藏文化博物馆,非国有博物馆,未定级,是,357,0,4,0,0.1139
7,安徽省,安徽徽园玉石博物馆,非国有博物馆,未定级,是,568,0,1,1,0.5398
8,安徽省,安徽徽州历史博物馆（歙县博物馆）,文化文物系统国有博物馆,二级,是,7651,1740,22,85,60.158
9,安徽省,安徽金丝楠宫博物馆,非国有博物馆,未定级,否,476,0,9,4,10.0166
10,安徽省,安徽聚贤百年邮政博物馆,非国有博物馆,未定级,是,700,0,3,0,6
11,安徽省,安徽祁红博物馆,非国有博物馆,未定级,是,368,15,7,2,4.2658
12,安徽省,安徽气象博物馆,文化文物系统国有博物馆,未定级,是,617,59,4,50,0.2
13,安徽省,安徽省沉香博物馆,非国有博物馆,未定级,是,312,0,3,28,1.7366
14,安徽省,安徽省稻米博物馆,其他行业国有博物馆,未定级,是,0,0,0,0,0
15,安徽省,安徽省地质博物馆,其他行业国有博物馆,一级,是,68552,0,12,94,95.1014
16,安徽省,安徽省古陶瓷博物馆,非国有博物馆,未定级,是,343,0,5,22,1.4871
17,安徽省,安徽省古文化博物馆,非国有博物馆,未定级,是,540,0,5,2,0.8698
18,安徽省,安徽省徽厨博物馆,非国有博物馆,未定级,是,486,0,1,20,4
19,安徽省,安徽省霍山县迎驾酒文化博物馆,非国有博物馆,未定级,否,450,0,1,9,5.0712
20,安徽省,安徽省聚贤报刊博物馆,非国有博物馆,未定级,是,326,0,3,0,6.1
21,安徽省,安徽省美术馆,文化文物系统国有博物馆,未定级,是,2196,0,35,605,80.1399
22,安徽省,安徽省农业信息中心（安徽省农业博物馆）,其他行业国有博物馆,未定级,是,601,0,1,3,0.0678
23,安徽省,安徽省祁门红茶博物馆,非国有博物馆,未定级,是,353,0,4,5,4.35
24,安徽省,安徽省陶行知纪念馆,其他行业国有博物馆,未定级,是,27,22,6,318,79.0434
25,安徽省,安徽省体育博物馆,其他行业国有博物馆,三级,是,2863,0,9,134,10.12
26,安徽省,安徽省萧县博物馆,文化文物系统国有博物馆,三级,是,4465,431,6,30,13.3616
27,安徽省,安徽省源泉徽文化民俗博物馆,非国有博物馆,未定级,否,1302,0,4,30,1.22
28,安徽省,安徽省中医秘笈博物馆,非国有博物馆,未定级,是,525,0,1,20,4
29,安徽省,安徽师范大学博物馆,其他行业国有博物馆,未定级,是,1242,738,1,1,0.3874
30,安徽省,安徽图书博物馆,非国有博物馆,未定级,是,1800,0,2,15,0.062
